# Кураторский список {account}<TAB>{name} для ninja /character API.
# Один билд на строку; # = комментарий. Разделитель: tab (или , | /).
# Расширяется из https://poe.ninja/poe1/builds/mirage через web-search индексацию character-страниц.
# Стратификация по классам/архетипам для ML-корпуса.

# === seed (автор) — Pathfinder ===
heygyus-0416	ResurrectSanest
BIMZERO-6458	BIM_Mirage_Prime
BTGplayer-4660	NotGunnaVoid
BXI-0316	Farmess_Ctier
BabyCat08-1492	Lnw_Mirage
Baleriy-6442	Ватахелло
BallinSheep-6469	SheepSparky
Ballislife723-0848	KubaZerk
Bandsy-1473	Bandsy
Bankykkz-4819	BKMR
BardielHon-4678	FalsitaMirage
Bartooc-4444	Bartooc_Poison
BasicBananas-2472	BroccoliBaron
Batschie-4927	Miragiemon
BattlePubes-6961	AvocadoAnalBeads
BaumisMagicalWorld-0673	Baumi_Poop_Shooter
Bazt3y-7617	Baztey_mirage
BeADreamer-3194	GigaBussyJuicer
BeLikeKhan333294-7562	FOX_DiabolTouristxdd
Belirs-4934	RaiderPoisonBad
Bendortiker-4313	Kynikous
BertP-2105	丁六九
Beton-8841	Aurafarm_
Beugs69-4892	Mahk_Robbits
Bhongskii-1846	Mirage_SiLenT
Bibitos-5616	Helidrax
BigBlackCog-6373	RobTheBeggar
Bimme700-2898	BillsManaman
BingTaiSs-7396	KrughemSs
Bladezile-2949	bladezile_mirage
BlazePentium-0886	Blayse_KBD
BlindSythe-5919	СУПЕР_ПЕДИК_ТИМОФЕЙ
Blu-5363	Blu_WitchMirage
BoTz_-5169	BoTzMirage
Bolins-1467	Troulins
BolwarFordragon-3889	SpireSlayerII
Boom-5379	WardingOffFemaleAttenti
Booomr-3025	bwenr
Boostmepls-4667	Всё_потерял
Boro-9098	Goromuru
Borp49-2830	FlickingAwayMyProblems
Brainwar-1546	Brainㆍ
BrandonMU-1447	BranSLAMMED
Breix-4056	BaldingElehit
Brenglos-2098	TiValdo
BrenoFXWasTaken-0462	bfx_mirage
Brkyy-1359	BrkyRFMirage
Bruce_wang-0560	Mirag_rebornagain
BrutalBrocoli-5455	Ceriee_Fromage
ByNOT-6266	ผัดกะเรา
CDijak-1351	Cameron
CULTYST-0004	CULTYST
Cafunes-7512	Cafunya
Cales-0941	Joll_Jamon
Cappoccino-7757	HeavyStrikeOfUnemployed
CaptainOverLord-6511	IamAcousticMan
CarryPotter659-1532	BaitedbyElehitt
Cayeb-0724	Rabenvati
CelestialSin-0699	HorseJockeyTaz
Chaos_W-2442	SSA_Mirage
Chaosfetish-0033	Ryss
Chaossen-3619	ChaossenBleed
Charmandere-2123	RightArmStrong
Chicken-3209	julybyday
ChipotleAway-5293	Zidell_Velhin
Chojak-4944	ChojakTOB
Chronett-5964	ChronetMamba
Chubbychuck-6609	ChubbySlays
Churiell-6245	Churiel_R
Cigaro-4714	Charles_Do_Bronx
ClandestineBear-7592	SusSmokeyBear
ClicksLombardi-4973	ClicksLombardi
CléberBaygon-9776	Discharrega_E_Dorme
CocaineStripper-6137	pierupetteri
Cornan1001-5318	SchniedelCastro
Cousy9-1957	CousyHROC
Coweater-2964	EleSmackdown
Cowert-0083	cowert_mirage
Cowert-0083	cowert_ward
CrazyMikky-1161	HC_MikkyII
Creamora-7768	KF_Cream
CreativeAtlaz-0922	FarmNoSleep
CringeAndRobloxLover-7182	HOLYBANKA
CringeWinston-4451	mirageLOGOUT
Crippl-5422	Crippl_Mirage
Crisp-2138	Little_Stink
Cucumber17-5124	ILostMyself
CynicalCynic-7534	LongggNeckNoPants
DISCOBODO-6393	MIRAGE_REFORMED_ORTHODX
DagorBlack-4840	DagorOldG
Dakka13-6447	BRUVVAH
Daman2828-6439	TomDeleteKingsmarch
DanFPS-7749	Dan_ToTs
Danisaxfone-6200	LOIdFrger
Danny290-5839	DannySmite
DarkBergz-3681	Darkberg_Heavyman
DarkMayoc-6318	LonMemayToNhuCaiHotXoai
DarkRAVER-4241	SRD_Lubin
Dark_GLP-2973	CallOfTheVoidLOL
Darsmaster-7867	Mitino_King
DatPatrick-3987	datpatCooooooooooC
Dawnax-7817	ShapsLittleBowCuck
DeCxDeC-0032	asdfasdfadsfds
DeKoTiK-3233	RaZpiZdyai
DeadUnicorn13-0886	TheMayinous
DeadandDoom-2501	DeadandDestruction
DemoNMasteR2486-3947	ㄷㄴㅣㅠㅜㅡㅑㄴㅂㅆㅌㅛㅇㅇㅁㅡㅡㅜㅇㅜㅌㅆㄹ
DemonSlayer010-6402	TricksterButBrolic
Dentao-0270	SHIELDBOIXDXDXD
Deragaun-3303	HeraldOfTheMamba
Deschain1-1265	SayP_Mirage
Destiny_PoE-2143	DMFORCARRY_Destiny
Detroxik-7714	BurstSloth
Dianthrose-1840	DiHierophant
Diewer-0712	arena
Dillgod-1500	Bobléponge_OrangeJuice
DimasFather-5166	Под_Кроватный_Клоп
Dimonsay12-4088	mamapapassdXX
DimqaX-7518	СтарыйВалдоранер
Dinosawr-6257	Dino_Mirage
Direntlent-7981	Pippka
Djeison76-7941	DjeisoN_BOSS_KILLING
Dkoi-6691	DkoiEMine
Dobrovar-1366	Eblan_Oath_Xuesos_Plate
Doe4Bgm-4391	MirageHansi
Doranex-0597	MirageWinterNuggets
DoubleJumper-1890	Jumper_MI_Clockwork
DownDAriva-3915	TheniMirage
DrVlad-6091	Sentheon
DrXaiva-7651	Xaiva_valdo
Drakkainem-3905	Bob_bff
Dreschnu-2806	TeqMirage
Dresdenlol-0970	Drezden_Mirage
Drewlord91-3465	AsasBum
DualVectorFoil-3319	CatEchoSlam
Dudeking-7809	MrNuker
Durmyr-2420	Degha_Mirage
DustikFR-8363	Auranoury
Dwygan-7496	dw_mirage
Défo-7215	JustinGreedou_
Eclipse9824-2744	bmw_mfive
Eechye-4031	MR_Chyes
Egnud-5875	StupidAssMF
Eilliz-7576	EEEEIXA
EilynnSoul-0021	Agent_Kroq
Ejx-3450	PatKB
Ekkîe-4476	OldEkkie
ElevenFortySevn-1009	Francis_Castle
Elliott18010-5156	MyGFsEyeIsDefective
Elsaira139-1617	Mines_Saira
Elsonk-7360	拉基蜃景
Emels-5432	miragechiefikoyujoy
Empyrian-4298	Empy_Kalandrification
EnzoPWNZ-1332	SwaggingAroundTheStone
EpicTreibholz-3483	DJsniff
Erinmen-0376	seciens
Errasal-2478	ErrasalGSG
Espeira-0277	Espeira_Mirage
Euryal-3384	OdiumMachines
Ev1light-0231	Evlight_Mirage
Excell2k-2498	бизнессовет
Exorzon-6416	ExorzonBringBackHarbies
Exoxit-0276	Exoxit_SakaiSquad
Expertas-4276	ExpertWTF
ExuberantHermit-7789	poetwomorefun
Ezequielreyes1-6353	EzeUruguayo
Eziled-6448	guruShatter
Ezzzo-1644	AbsoluTemplar
F1bo-1777	Йоко
F4yah-7603	PookieBOT
FalkenRaiding-1068	Falken_Mira_GoAgane
Fangaderya-5302	FanatkaKonga
FarahWay-3751	Farah_ProbablyAMiner
FatalAbsolution-4749	DeptOfPlayerEfficiencyF
Faugn4815-4017	oak_the_bazaar_enjoyer
FauxDeLua-5007	SerpentBrand
Feenyaa-0374	JellyWormixCEO
Feequ-2761	ok_ko
Fekszon-6294	Lacibogar
Fellord-7875	FORTHEDJINNNN
Fenristapp-4107	VatisKleinerPrinz
Ferlou-1634	Hirage
Ferridan_432-2473	Попукал_плюс_занюхал
Fessy7-6440	NeedTrenAndMilfMilk
FetAlik-1307	ExGraf_Tusha
Fexol-7146	SkipMirage
FileyoFish-1846	RodWave
Finally-5325	Ccczy
Finrod2708-4119	Finrod_Mirage
Fired-6995	二十九赛季蓝衣女人
Fishfrombeyond-0889	AmbiFish
Fitzpitzle-3095	Venekor_Mirage
FizzCradle-9174	killVmaim
Fjs666-1746	Fjsss
FlowEpid-7455	Mirage_KF_Higiri
Flower5000-0318	FlwrBadIdea
Floxyyz-7166	Floxyy_
FlufferZA-1560	TotesObvi
Fluffy0609-7337	DiddyOrDiddyNot_
Fluuuuuu-7869	Juggythis
FlyingManYOLO-1991	TrumpThem
Fourty3-6301	Fourtywindowshopper
Foxith429-2990	WhatYouWishFor
Frawly-3129	FrawlyName
Frenari-0571	역시치붕이지
FreundNase-0616	AFKWatchParty
Frezziee-6398	CumLordMike
FrostidFlaeks-3413	BOGLOOGLIO
FuhrerFright-2528	SweetGlockShooterLobby
Fujiwaru-0145	CoachBleedUwU
FunctionalInsomniac-3755	BTierMeleeSkill
Furyaid-5117	Fury_RFMirage
Fye_-3924	幻境丶峰野的思无邪
GATINJCH-5546	BaAaaaaaaaaaaaaaaa
GA_Dantes-5153	Divspacito_mirage
GGad237-0146	blight_elem
GK若黎-4267	Mirage_CX_JKruoli
GODSCAIN-0251	DASDASDQWEQWEQ
GRFABR-5884	SanctumAgane_Giga
Galgame-6130	DualingEnergy
Galkar-0446	MirageEzo
GamerQueenbg-1242	Iva_EB
Gannik44-3979	ХочуМиррорСпола
Garfm-3978	Garfm_Smile
Gavrani-6261	Gavrani_MetaBuild
Gear_Fourth-3681	TrumpNobelPissPrize
Geayukari31-5450	GeayuMirage
Genetiz-6276	GenetizMirage
GeordiMcSnuff-1894	GeordiMirageOne
Geroy-0924	Yellow_Alert
GetGrenade-2339	Get_Mirage
Ghost-7596	ghosttttttttt
Gigkykub-2062	GigkyMi
Gimbolek-1619	TelAvivAgent
GimmeShavs-7724	MK_FOUR_EIGHT_TORPEDO
GimmeZeLoot-1718	SanctumLucyHottyPussy
Glaster35-1497	SpinMe_Boi
GlebKosha-2860	TheOfficeMamba
Glenom-0856	GrenomGrenomGrtenom
Gneerox-5446	Gneerox_Mirage_FrostyB
GodEatGod-1171	gghan_mirage_marauder
GodLevelAccount-7056	ОсеннийЛист
GodSpy-2498	MirKaBoom
Goldoth-7858	DancingAroundAllAlone
GonGetGot-5752	Brooometheus
Gonzoscr-3439	Uspehneizbejen
Gottschi3000-7583	GoonLordofBanners
GragothUr-4643	recombination_failed
GrandGrindingGamer-5074	BanesMirage
Grantador-7463	Sevan_Kalandrification
GratedBump-6345	Azeban_Mirage
GreenEyes1993-3236	ัFrostyTheSnowman
GreenSpandex-3038	BoltiesAlDentePenne
Grimmjohn-3823	Grimmjohn
GrimmyQuebraPedras-5975	RodrigoAbandonado
Grinch226-5081	Grinch_Miragee
Grizone-3568	sixty_nine_hot_loads
Gruber788-5683	GruberMirage
Gwith-3915	GwithMirageAura
Gwyndolin7-5803	Krovoseesya
HEQSHEQSHEQS-2562	burgerlesschud
HESSSU-6053	Mihahe
Hajnlik-7119	Hajnlik_Mirage
HakkrOw-1412	Gova_Mirage
HalnezanTehp-5365	Mirage_HalnezanTehp
Han-6470	BenBlaRueMeow
Happymaster1-3063	askjdhaskjd
Hardtrox-6180	AurenAnke
Hashuros-2827	HashuroRightFire
Headroller-0483	HeadrollerPCONC
Hekekenoi-5952	SIXSEVEN_ARBUZ
Heli0z-7407	WomboWard
Hellsing1326-3444	Hellsing_Absolut_kwank
Hellu-2463	Hellu
HexV-1992	Schlammeier
Hidaru_-5709	Hamburger_Destroyer
HipposIsHorse-1407	SUPERDZIADZIA
HoGji-5795	HoGji_Scion
Holmygg-2493	Holmybrrrr
Holvan-4083	keg_of_beer
Hope-4551	RFyippeeeeeeeeeeeeeeeee
Horhee-7500	HorheDisconnect
HorusPLS-6632	Hype
Hostalgia-2701	哥们继续开闪
HotDogPete-4097	KBoCguyOneLeagueLate
HrooSch-2523	SagittariusAura
Hu1-3819	Kyle_Butler
Hulje-1028	HuljeMrg
Humanmanly-0985	Potvorazarmoru
Hvide_Jonas-4268	Sir_Primrose_Plumcock
HyacinthF-4923	WardLoopaF
HypSmash-7909	Hypbot
Hysygod-1819	SosuZaPizdu
Hyudi0-5070	Hiud
IAmHoody-6827	MISS_THE_RAGE
IMMORTALBANANAPIE-5875	FatGonzales
INVOCAT1ON-4190	OneGoodLeagueExist
IPNewbie-4403	MadlaxMirageAura
I_Am_a_Liability-0455	wrewer
I_Got_Dat_Dingleberry-1091	DingleBrickShitHouse
I_Riothamus_I-0412	BonnieBluesNewborn
IamKaru-4813	SushiTheMambaItGotMe
IamRice-6773	BaitedByAss
Iandabomb-2019	case_hardened_cock
Idl3Path-3361	Booro
Ikeamillion-2277	BoboFiveBigBooms
Ikses-7674	Ikses_BleedAgain
ImZetsu-2867	ImRF_ZET
Imaneagle-4975	SlayerEagle
InVeRnyako-4228	InVeR_PureRF
InsanityDarknezz-2706	xXInsanity_BVCXx
Insomnia4241-4527	YoruSykaa
Integrosel-6310	IntegroMirage
ItsEraze-1465	TheLootIsAMirage_
IvanBliminse-1602	Mirage_Fortifier
JImmyThugger-2517	tghdfghfdg
JLCrayton-4297	Joshxo
JWYJWYJWY-1041	크레이븐코티지
JaCrispy098-1568	JaCrispySnap
Jackieali-1699	ElonmaskA
Janeden-4330	Nosaj_FiveGoys
JawsWool-5350	Jaws_Mirage
Jaxct-5225	CLEANTOTEM
Jaymemes-7376	Mirage_memes
Jaytack01-6918	JacobianNecro
JellyBelly77-0936	Jelly_Necro_Kboc
Jeromeo-3968	Marie_Quantonette
Jewbacca28-6434	Juif_OrangeJuice
JeweRenok-2488	NecronMrazish
JeyFol-5119	JeyFol_Mirage
Jezie-4328	JungroanAssMirage
Jhenco98-2081	Peanut_LeapInWitch
JigsoreTerror-4194	Nisse_Nitroglycerin
Jishik-1922	worbgun
Jisoon1-1415	Jisoon
Jkrs-5113	Jokers
Jodox-3253	JodoxJodox
Joernzen-6138	Emi
JoeyL33-2571	Mirage_Joey
Josh_King-4356	MilkybeeksHOLY
Judaism-7527	JoodaBlastOfClusternic
Juni-9988	managuardianauragg
Junsonyoyo-4607	砍断吊
JustKillmeplease-1249	LidskiyTemniy
K1M_POE-0241	kim_morra
K1se1234-4126	LAMTRITAIKUTE
KTSP-7637	MANONAMISSION
Kaboinglefop-0955	JanGhidorah
Kacner-1896	いつまでも一人ぼっち
Kaisone-3604	Zignia
Kajean-2088	Kajean
Kakashi1337-1439	Kashi_Culler
Kaktusar-1489	bukake_poi
Kalvaran-2917	bobaboyz
Kama_-0253	Mira_NoKuEAtira_Ge
Kamalok-2108	FenumalKolyaArachnid
Kanjs-5600	KanjsRfMirage
Kaon-0624	Kaon_domination
Kapitan_Ne0-3428	oupewxcv
Karelliosh-6593	MirageBetaTester
Karwin-5488	HardLifeMirageTrig
Kassadus-7130	Kassadus_Speedmaxxing
KatarWyndi-2617	EnhancedMirage
Katzurou-5701	CommitElemental
Kawoot-2216	KawootMirage
Kazerolo-3498	KZ_Mirage_ABot
Kazimaru-7899	TeavesNewDad
Kazomb-0861	Dogshitnamethefifth
Kazoul-6145	Kz_WinWin
Kebab_9354-2214	Miner_Kebab
Kelux-7759	K_Venom
Kelvynn-6607	WhisperingMirage
Keneme-2098	ZarakiKenjuggy
Kente_-2566	IranianRockets
Kepper-9995	Aura_miragem
Keyser_Söze-2192	vivi_vivi_vivi
Khanzzo-1473	AbyssalJewelCollector
Kifalin-4350	enjoying_konfetkaodin
Kilves-2695	KangastusAura
KimJongBigDong-5865	MirrorTierMistake
Kingu_Sora-1705	HH_Blaster
Kluuben-2206	xdddddddddxdddddddddddx
Kmbler-6451	kmbler
Kniev-1787	HetIsGeenRace
Knlai666-8260	InfernoTiger
Koopas-5031	KoopasCWS
Kop_Fan-6478	KopMirage
KoreaBanana-3391	Mirage_Hesitob
Korriandrr-0713	DoubleStargateRunner
Kosatishe-5752	Dominating_Kosat
Kotleta-4701	ПринтерДеняг
Krayt_-5301	Krayt_Aurabot
Kreuzfah-7543	Quartzed
KrisTheEmperor-0076	ZenoOfCitium
Krusi97-2887	KrusiBanner
KsStylez-5520	vvLelouchvv
KulioZ-1460	SupaRF_Mirage
Kunaak-0776	Bane_Weaver
KuschelKatze-1408	Chaos_Maus
Kyon1111-4421	kyonfy_mirage
L4niid4e-1640	BloodQuantumBlues
LARISO_EROTICO_NE_DOROGO-0643	Mirage_BOROV
LATERi-2248	NotHOLYHammerdTime
LPBird-7915	chip_idi๏t
LPMassive-0503	PROFITS_
LaCoquiine-4984	Slave_a_Yvori
LakeOfKal-1036	Weaknessstack
Laliath-2272	GoldShipDropKick
Lam0uchi-7061	MambaLAM
LazyStyle-1276	razgazik
LeagueWalker-9610	男人大老二
Leandowich-2226	OlrothShatterMyNuts
Legango-6895	Крушить_и_воровать
Legendary2k-0446	SummonAyatollahKhomeini
Lelushik-1986	洞穴居民
Lenley-2501	PattyFattyTheSplooger
Lenryn-2284	HelpMeImOnFire_
Lepanza-6123	ClassicReachAround
Lepsutin-6118	WorstMapInCS
Lepétoule-3295	PétarfoutuLeMouillé
Lestat5-1755	TRJiwoo
LetSRockW-4134	SóVentiladores
Lewantos-4596	UmeChrono_ImGladToPlay
Lil_Krika-4967	Yonko_mirage
Lilac__-2634	소호리를아시나요
Lillith_EverGarden-1214	Bruce๏Banner
Liroyka-3299	СвеТлоэЛекТро
Littleluckyluck-1810	KBOCLUCKYXDD
LivelyColossus-2340	Champinone
Loktark-5935	IMustWrest
LolWhyShouldICare17-5804	TonyTheChimneySweep
Lord_Emrakul-7131	IStabWithFIRE
Lorkant-2790	nvmnd_
Luhbus-0206	amesianyaah
Lumi_s-5904	MisterMiragi
LusuiPyps-0560	AbuseMachina
Lykan555-2625	zxcmentality
MOCb_KR-7333	Junge_Mirage
MORRA010-2360	kjkkljklj
Macilus-1939	dschleeANDdschlaw
Mackanxd-0221	mackx
Macookta-3292	Macookta
MacxzAndTroakCombined-5865	JakeJibbs
Madeliened-2414	MAXIMUM_RUCKUS
Madithen-4782	Jurou
Madzurai-4076	GUZUmadstermind
Magebloodgodx-5246	ValueMindset
Magest-4382	ZinaAmbrazina
Magical_Taco-5373	Expired_Milk
Mahafathar-2736	_จิ๋มผจญภัย_
Mahiart-6845	Xevllinger
Maired-1372	WolsyMR_KF
Malprior-3216	왕자지물포
Malygosi4ka-3319	хХхКрохоборхХх
MamaYaRip-2011	PumbaDeMirage
Maniera2006-7498	Beebeerabugh
MansKokoko-6579	PepeMiraGGGe
Marilak-3044	elepreg
Mashnert-0334	ArmalyMir
MassLick-4210	MassLick_Fromage
MaypletackSSS-3158	xDxRF_________________V
Mazer-7704	Mazer_Mirage
MeMirrorglhf-5883	KiTicTo
MeeMaw-2503	前有虚妄故悲伤
Melcario-1552	BebopEnjoyer
Meltis-0003	MeltisMirage
Memorila-3345	вардлупка
Menta-7650	HoppityHopGoesPop
MeowCrisis-6369	AntEatElephant
Mercy228-0624	Ывыавыавыа
Merryメリー-6696	merry_Ilmatar
MestariSyötittäjä-6713	Kauno
Meta1ingus-0266	UltronMalfeasance
Micaner-5673	MIR_Mican
MihalichExalted-2039	GuzlikXGod
Mikupai-0548	ElementalReze
Mikuwu-3972	TWICE_Miku
Milko789-3293	MirageMilko
Mini4You-4242	Mini_KoB
Miniman7778-7272	Mini_Mirage
Mink_Cha-5137	허상밍크
Mint_KA-4874	KappaPeniisDelluxe
Miolily-9467	Mirage_Waylay
Mirvex-4858	ExGoon
MischiefMO-6245	MischiefRF
Miser-3719	YARFM
Mismith1-7908	ASUFratLeader_
Miyukidesu-0853	SubToMrBeastForSlamNerf
Miyukidesu-0853	SubToMrBeastForStaves
MjltEryut-1162	Mirage_MjltEryut
Mloteks71-0146	SimulationRusher
Mobtri-2400	lilpatat
MoetaLily-5984	Moeta_SkillIssue
Mohand-4968	SUPER_EXTREME_BACKSHOTS
Mohand-4968	SUPER_EXTREME_CUMSHOTS_
Molydeus-1456	BookMirage
Mommalover2007-2108	GayMirage
Monster5m-6484	Megaboink
Mooopey-4794	Aerrbk
MorboMorbonian-3972	MirageMorbo
Moritz269-6211	Moritz_OnlyBreach
Morphonias-5520	MoneyMirage
Mournes-0534	PepsiAllJuice
MrKinGG-1250	Ckoyba
MrReallyYo-2235	Mirage_ChrisWitchyGirl
MrShika13-1463	ShikaShortNeck
MrSkider-7432	CumGoblin_
Mr_Shyi-6499	阿烦闪打
